Soru,Cevap,Etiket
Türkiye Cumhuriyeti kaç yılında ilan edildi?,1923,1.0
Türkiye Cumhuriyeti kaç yılında ilan edildi?,1881,-1.0
İstanbul'u kim fethetti?,Fatih Sultan Mehmet,1.0
İstanbul'u kim fethetti?,Napolyon Bonapart,-1.0
Malazgirt Meydan Muharebesi ne zaman oldu?,1071,1.0
Malazgirt Meydan Muharebesi ne zaman oldu?,1299,-1.0
İlk Cumhurbaşkanımız kimdir?,Mustafa Kemal Atatürk,1.0
İlk Cumhurbaşkanımız kimdir?,İsmet İnönü,-1.0
Fransız İhtilali hangi yılda başladı?,1789,1.0
Fransız İhtilali hangi yılda başladı?,1990,-1.0
Amerika kıtasını kim keşfetti?,Kristof Kolomb,1.0
Amerika kıtasını kim keşfetti?,Evliya Çelebi,-1.0
Ampulü kim icat etti?,Thomas Edison,1.0
Ampulü kim icat etti?,Isaac Newton,-1.0
Telefonu kim icat etti?,Alexander Graham Bell,1.0
Telefonu kim icat etti?,Albert Einstein,-1.0
Mimar Sinan'ın ustalık eseri hangi camidir?,Selimiye Camii,1.0
Mimar Sinan'ın ustalık eseri hangi camidir?,Sultanahmet Camii,-1.0
Parayı ilk kullanan uygarlık hangisidir?,Lidyalılar,1.0
Parayı ilk kullanan uygarlık hangisidir?,Sümerler,-1.0
Türkiye'nin başkenti neresidir?,Ankara,1.0
Türkiye'nin başkenti neresidir?,İstanbul,-1.0
Dünyanın en yüksek dağı hangisidir?,Everest,1.0
Dünyanın en yüksek dağı hangisidir?,Ağrı Dağı,-1.0
Türkiye'nin en uzun nehri hangisidir?,Kızılırmak,1.0
Türkiye'nin en uzun nehri hangisidir?,Fırat,-1.0
Dünyanın en büyük okyanusu hangisidir?,Büyük Okyanus,1.0
Dünyanın en büyük okyanusu hangisidir?,Hint Okyanusu,-1.0
Ege Bölgesi'nin iklimi nedir?,Akdeniz İklimi,1.0
Ege Bölgesi'nin iklimi nedir?,Karasal İklim,-1.0
Japonya hangi kıtadadır?,Asya,1.0
Japonya hangi kıtadadır?,Avrupa,-1.0
Piramitleriyle ünlü ülke hangisidir?,Mısır,1.0
Piramitleriyle ünlü ülke hangisidir?,Brezilya,-1.0
Dünyanın uydusu nedir?,Ay,1.0
Dünyanın uydusu nedir?,Güneş,-1.0
En çok nüfusa sahip kıta hangisidir?,Asya,1.0
En çok nüfusa sahip kıta hangisidir?,Antarktika,-1.0
Türkiye'nin kaç coğrafi bölgesi vardır?,7,1.0
Türkiye'nin kaç coğrafi bölgesi vardır?,3,-1.0
Suyun kimyasal formülü nedir?,H2O,1.0
Suyun kimyasal formülü nedir?,CO2,-1.0
Yerçekimi kanununu kim buldu?,Isaac Newton,1.0
Yerçekimi kanununu kim buldu?,Nikola Tesla,-1.0
Işık hızı yaklaşık kaç km/sn'dir?,300.000,1.0
Işık hızı yaklaşık kaç km/sn'dir?,100,-1.0
Evrendeki en hafif element hangisidir?,Hidrojen,1.0
Evrendeki en hafif element hangisidir?,Demir,-1.0
İnsan vücudundaki kemik sayısı kaçtır?,206,1.0
İnsan vücudundaki kemik sayısı kaçtır?,500,-1.0
Güneş sistemindeki en büyük gezegen hangisidir?,Jüpiter,1.0
Güneş sistemindeki en büyük gezegen hangisidir?,Mars,-1.0
Bitkiler fotosentez için ne kullanır?,Karbondioksit,1.0
Bitkiler fotosentez için ne kullanır?,Oksijen,-1.0
DNA'nın açılımı nedir?,Deoksiribonükleik asit,1.0
DNA'nın açılımı nedir?,Dinamit,-1.0
Suyun deniz seviyesinde kaynama noktası kaçtır?,100 Derece,1.0
Suyun deniz seviyesinde kaynama noktası kaçtır?,50 Derece,-1.0
Dünya Güneş etrafında ne kadar sürede döner?,365 Gün,1.0
Dünya Güneş etrafında ne kadar sürede döner?,24 Saat,-1.0
Futbol maçları kaç dakika sürer?,90,1.0
Futbol maçları kaç dakika sürer?,60,-1.0
Bir futbol takımı sahada kaç kişiyle yer alır?,11,1.0
Bir futbol takımı sahada kaç kişiyle yer alır?,5,-1.0
Basketbol potasının yerden yüksekliği ne kadardır?,3.05 metre,1.0
Basketbol potasının yerden yüksekliği ne kadardır?,2 metre,-1.0
Voleybol kaç kişiyle oynanır?,6,1.0
Voleybol kaç kişiyle oynanır?,11,-1.0
Olimpiyat halkaları kaç tanedir?,5,1.0
Olimpiyat halkaları kaç tanedir?,10,-1.0
Maraton koşusu kaç kilometredir?,42,1.0
Maraton koşusu kaç kilometredir?,100,-1.0
Tenis kaç set üzerinden oynanır (Grand Slam hariç)?,3,1.0
Tenis kaç set üzerinden oynanır (Grand Slam hariç)?,1,-1.0
Hangi spor dalında 'smaç' terimi kullanılır?,Voleybol/Basketbol,1.0
Hangi spor dalında 'smaç' terimi kullanılır?,Yüzme,-1.0
Dünya Kupası kaç yılda bir düzenlenir?,4,1.0
Dünya Kupası kaç yılda bir düzenlenir?,1,-1.0
Formula 1 yarışlarında kullanılan bayrak ne renktir?,Damalı (Siyah-Beyaz),1.0
Formula 1 yarışlarında kullanılan bayrak ne renktir?,Kırmızı,-1.0
Bir haftada kaç gün vardır?,7,1.0
Bir haftada kaç gün vardır?,10,-1.0
Bir yılda kaç mevsim vardır?,4,1.0
Bir yılda kaç mevsim vardır?,2,-1.0
İstiklal Marşı'nın şairi kimdir?,Mehmet Akif Ersoy,1.0
İstiklal Marşı'nın şairi kimdir?,Orhan Veli,-1.0
Gökkuşağında kaç ana renk vardır?,7,1.0
Gökkuşağında kaç ana renk vardır?,3,-1.0
Türkiye'nin plaka kodu nedir?,TR,1.0
Türkiye'nin plaka kodu nedir?,US,-1.0
Alfabemizde kaç harf vardır?,29,1.0
Alfabemizde kaç harf vardır?,26,-1.0
Hangi hayvan kış uykusuna yatar?,Ayı,1.0
Hangi hayvan kış uykusuna yatar?,Kedi,-1.0
Örümceklerin kaç bacağı vardır?,8,1.0
Örümceklerin kaç bacağı vardır?,4,-1.0
Bal neyden yapılır?,Çiçek özü / Polen,1.0
Bal neyden yapılır?,Süt,-1.0
Türkiye hangi yarım kürededir?,Kuzey Yarım Küre,1.0
Türkiye hangi yarım kürededir?,Güney Yarım Küre,-1.0
